years_before_present,co2_ppm,sigma
38341.2,207.41,0.17
38416.2,208,0.67
38469.8,210.79,0.64
38529.9,207.23,0.04
38590.2,210.08,0.4
38630.6,208.23,1.98
38678.8,204.79,0.46
38727.8,204.46,0.74
38780.4,206.54,0.31
38869.6,206.09,0.26
38931.7,205.65,0.02
39012.6,205.99,1.31
39033.8,202.34,1.42
39110.6,204.28,0.68
39177.5,207.32,0.2
39322.7,208.69,1.7
39360.2,209.5,0.47
39376.9,209.33,0.48
39396.8,207.87,0.79
39436.4,204.78,1.06
39459.9,191.53,0.9
39511.4,198.14,1.03
39572.4,200.4,1.36
39678,195.7,2.08
39766.2,196.67,1.06
39814.1,193.58,1.16
39942,193.87,0.2
39957.5,197.55,0.67
40099.7,192.6,2.21
40169.1,193.08,0.44
40202.3,193.69,0.42
40365.4,197.9,1.39
40542.95,201.32,1.37
40610.44,201.48,1.09
40811.3,200.47,0.74
40964.39,200.97,1.92
41224.9,201.53,1.88
41360.59,204.19,1.54
41662.97,205.49,0.99
41816.21,201.12,1
41957.69,199.89,1.36
42372.82,200.9,1.24
42685.3,204.83,0.19
42906.87,206.35,1.07
43025.08,204.26,0.76
43228.89,203.16,1.43
43407.66,201.66,1.81
43572.82,204.22,0.86
43718.16,203.18,1.05
43866.01,201.69,1.13
44152.2,204.31,0.92
44261.45,202,0.52
44407.47,206.22,1.86
44547.5,204.83,1.32
44712.54,212.29,0.85
44873.01,210.44,0.56
45053.16,211.49,0.35
45199.02,207.95,0.71
45337.39,213.92,0.82
45517.32,214.5,0.81
45753.06,217.51,2.16
45934.11,222.72,0.33
46114.33,221.77,1.74
46238.26,219.25,1.19
46365.55,218.35,1.45
46692.9,216.42,1.44
46803.44,214.18,0.99
46944.94,210.84,1.5
47143.28,210.27,0.53
47371.98,207.6,1.2
47581.36,204.26,0.98
47767.39,203.79,0.39
48000.75,205.66,0.97
48280.18,206.18,2.05
48484.86,200.98,0.56
49044.95,201.58,0.88
49359.98,200.12,0.4
49519.66,204.06,1.22
49785.32,203.87,1.26
50063.51,204.38,1.65
50277.55,206.74,0.48
50584.41,207.41,0.46
51086.17,207.64,0.91
51488.45,211.57,0.39
51836.53,215.08,1.77
52143.82,213.82,0.73
52441.78,219.08,0.28
52630.68,220.72,0.36
52857.74,221.15,1.09
53165.25,223.72,1.68
53457.45,223.26,0.89
53863.25,221.14,1.49
54213.6,220.37,0.85
54444.13,217.96,1.84
54751.61,213.89,1.14
55071.49,216.86,0.61
55350.46,208.19,0.72
55610.13,214.78,0.55
55966.54,210.27,1.23
56294.13,207.67,0.81
56560.58,212.44,0.67
57267.94,215.7,0.63
57533.27,217.38,2.49
57900.72,223.72,0.49
58274.01,224.35,0.8
58490.32,223.15,1.22
59162.07,231.29,0.15
59437.41,226.35,1.37
59790.47,223.45,0.7
60166.88,216.66,0.84
60430.06,212.87,0.71
60573.63,217.25,0.6
60874.62,213.78,1.38
61117.88,207.95,1.26
61291.84,210.57,1.01
61611.11,210.9,0.7
61957.72,206.38,1.2
62609.01,202.56,0.95
62831.57,202.71,2.34
63017.9,200.15,0.65
63612.79,197.4,1.22
63953.88,197.24,0.78
64170.78,199.73,1.31
64714.29,203.7,0.51
64924.42,201.67,1.19
65103.72,199.17,0.66
65603.45,208.98,3.34
65821.51,198.17,0.74
65994.23,200.59,1.46
66496.31,204.39,2.87
67016.71,207.21,1.69
67371.59,201.14,2
67786.68,203.76,1.06
68203.19,200.17,1.62
68676.99,203.43,0.57
69138.53,205.42,0.89
69649.02,211.26,1.13
70109.16,215.55,1.78
70484.26,220.33,0.55
70985.87,225.17,1.38
71336.17,235.02,1.24
71750.65,237.56,0.75
72149.81,239.46,0.88
72547.15,232.79,0.94
72923.04,232.33,0.97
73276.32,230.89,2.09
73807.96,232.74,0.94
74278.48,231.33,0.7
74582.65,241.24,0.98
75124.95,243.27,1.62
75602.13,249.52,0.74
75907.65,249.94,0.63
76304.47,239.34,1.12
76753.74,238.01,1.98
77113.48,231.68,1.54
77672.92,224.92,1.3
78137.75,226.65,0.84
78564.95,224.14,0.65
79026.54,227.3,0.56
79467.36,229.26,1.34
79934.76,234.74,0.72
80387.36,230.6,0.62
80778.79,233.92,1.46
81263.94,230.33,0.8
81768.43,234.13,1.17
82125.79,238.89,0.94
82583.72,240.87,1.64
83045.26,246.32,0.7
83611.11,247.1,1
83997.9,250.79,0.8
84414.44,243.16,0.76
84993.77,238.42,1.1
85424.47,234.69,0.6
85947.69,228.76,1.57
86555.32,223.38,0.72
87084.64,221.06,2.32
87638.18,223.63,0.93
88193.18,217.8,1.57
88758.05,223.99,0.5
89301.72,227.38,1.1
89753.26,228.88,0.58
90374.29,229.74,1.29
90891.02,231.56,0.57
91502.03,231.12,0.57
92006.74,233.74,1.11
92724.82,232.46,2.22
93481.71,235.16,0.83
93880.21,238.21,0.77
94625.55,242.41,0.53
95291.11,242.91,1.07
95978.48,246.2,1.54
96531.88,245.76,0.6
97327.89,242.35,2.04
97984.46,239.86,0.45
98640.72,243.18,0.23
99418.42,242.99,1.01
100133.85,245.63,1.07
100600.18,247.87,1.1
101382.68,244.76,1.13
102028.89,240.07,0.94
102821.78,237.07,1.75
103365.74,240.68,0.94
104331.33,247.76,0.83
104388.23,238.88,1.55
105023.45,242.36,2.65
105564.15,248.78,9.96
106046.87,257.58,4.2
106313.38,241.4,2.65
106425.25,244.83,3.05
107031.82,240.34,2.65
108458.91,236.43,2.65
109186.42,244.44,1.58
109896.97,244.13,2.65
110612.36,246.69,2.65
111933.8,257.93,2.94
112693.06,256.79,2.65
112998.73,263.12,2.65
113176.27,264.75,3.64
113735.64,260.58,2.65
114307,267.9,2.65
114872.39,275.07,2.65
115503.67,276.96,1.63
115965.58,273.16,2.65
116532.58,273.63,2.65
117242.55,274.03,2.65
117676.36,274.98,4.03
118715.27,277.72,2.65
119299.52,267.74,2.65
119772.5,274.59,1.3
120201.12,268.73,2.65
120599.91,276.82,2.65
121483.02,279.48,2.26
121898.97,276.61,2.65
122157,278.25,3.4
122349.36,279,2.65
123070.95,279.16,2.65
123687.91,274.6,6.56
124016.48,275.87,2.65
124461.52,281.54,2.65
124874.45,275.52,2.65
125349.63,276.81,2.78
126070.7,275.15,2.65
126756.91,273.02,2.65
127019.03,274.93,2.65
127370.83,275.78,2.65
127560.55,276.88,3.83
128081.48,276.03,0.28
128229.67,280.72,2.65
128523.73,285.76,2.65
128935,271.08,2.65
129135.04,268.44,1.92
129712.64,260.61,3.45
130430.03,251.84,2.65
130875.36,250.84,2.65
131379.2,241.13,1.89
132033.24,232.28,2.65
132766.88,228,2.65
132988.96,224.63,2.65
133832.81,222.74,2.65
134579.28,212.43,2.65
136622.55,203.74,0.79
137820.42,199.18,2.65
138891.3,198.55,1.08
140006.97,192.75,0.19
142417.56,196.51,0.95
143708.3,194.59,2.65
144856.59,196.02,2.65
146165.24,193.59,0.64
148290.47,195.81,4.05
149523.15,201.78,2.65
150651.88,202.51,2.65
151501.85,202.35,1.86
153831.66,198.78,1.73
154946.13,196.3,2.65
156363.82,189.38,2.65
158723,189,3
159773,185.5,3
160212,187.5,3
163915,204.3,3
164391.65,196.5,3
166200,191.6,3
166841,190.1,3
167971.1,186.7,3
168802.5,183.8,3
169571.4,196.6,3
171996,197.8,3
174499,197.7,3
175890.35,196,3
176910,190.3,3
177590.93,189.4,3
